Date, LiquidTemp, TempOut, TempIn
1393751825513,72.05,72.68
1393751885546,72.05,72.68
1393751945586,72.16,72.68
1393752005643,72.16,72.68
1393752065696,72.16,72.68
1393752125726,72.16,72.68
1393752185766,72.28,72.68
1393752245836,72.16,72.68
1393752305876,72.28,72.68
1393752365915,72.28,72.68
1393752425957,72.39,72.50
1393752486003,72.39,72.32
1393752546056,72.39,72.14
1393752606093,72.50,71.96
1393752666135,72.50,71.78
1393752726175,72.50,71.60
1393752786216,72.50,71.60
1393752846256,72.50,71.24
1393752906293,72.50,71.24
1393752966326,72.61,71.06
1393753026366,72.61,70.88
1393753086406,72.61,70.70
1393753146465,72.61,70.70
1393753206506,72.61,70.70
1393753266576,72.61,70.52
1393753326636,72.61,70.52
1393753386656,72.61,70.34
1393753446695,72.61,70.34
1393753506755,72.61,70.34
1393753566773,72.61,70.16
1393753626832,72.61,69.98
1393753686865,72.61,69.98
1393753746913,72.61,69.98
1393753806963,72.61,69.98
1393753867013,72.61,69.98
1393753927064,72.61,69.98
1393753987116,72.61,69.80
1393754047136,72.61,69.80
1393754107196,72.61,69.80
1393754167307,72.61,69.80
1393754227293,72.61,69.80
1393754287336,72.61,69.62
1393754347398,72.61,69.62
1393754407466,72.61,69.62
1393754467478,72.61,69.44
1393754527516,72.61,69.44
1393754587534,72.61,69.44
1393754887705,72.61,69.44
1393755187736,72.50,69.44
1393755487836,72.50,69.26
1393755787936,72.50,69.08
1393756088017,72.50,68.90
1393756388113,72.39,68.90
1393756688155,72.28,68.72
1393756988252,72.16,68.72
1393757288368,72.28,68.54
1393757588452,72.16,68.54
1393757888553,72.16,68.36
1393758188675,72.05,68.18
1393758488755,71.94,68.18
1393758788853,71.94,68.18
1393759088953,71.83,68.00
1393759389046,71.83,68.00
1393759689153,71.71,68.00
1393759989252,71.71,67.82
1393760289356,71.60,67.64
1393760589456,71.60,67.64
1393760889553,71.49,67.64
1393761189656,71.38,67.64
1393761489773,71.38,67.46
1393761789855,71.26,67.28
1393762089956,71.15,67.28
1393762390072,71.15,67.10
1393762690153,71.04,67.10
1393762990256,71.04,66.92
03-02 04:26:16,70.93,66.74
03-02 04:31:16,70.93,66.74
03-02 04:36:16,70.81,66.74
03-02 04:41:16,70.81,67.46
03-02 04:46:17,70.93,67.82
1393842194882,65.86,64.04
1393842349569,65.86,65.84
