Date, HumidityOut, HumidityIn
1389426066127,99.9,66.6
1389426966227,99.9,66.7
1389427866247,99.9,66.8
1389429666397,99.9,66.9
1389431466617,99.9,66.8
1389432366762,99.9,66.9
1389433266816,99.9,66.7
1389434166920,99.9,67.1
1389435067017,99.9,67.0
1389435967027,99.9,67.1
1389436867128,99.9,67.3
1389437767127,99.9,67.2
1389438667127,99.9,67.5
1389439567228,99.9,67.7
1389440467317,99.9,67.7
1389441367416,99.9,67.6
1389442267527,99.9,67.8
1389443167628,99.9,67.8
1389444967777,99.9,68.0
1389445867877,99.9,67.9
1389446767978,99.9,67.8
1389447668036,99.9,68.0
1389448568147,99.9,68.0
1389449468247,99.9,68.1
1389450368347,99.9,68.4
1389451268447,99.9,68.5
1389452168516,99.9,68.8
1389453068617,99.9,69.0
1389453968697,99.9,69.2
1389455768877,99.9,69.4
1389456668887,99.9,69.4
1389457568887,99.9,69.5
1389458468997,99.9,69.6
1389460269158,99.9,69.7
1389461169248,99.9,70.0
1389462069328,98.7,70.5
1389462969427,93.5,70.7
1389464769607,84.9,70.9
1389465669657,80,70.9
1389466569768,85.3,70.8
1389467469867,90.7,70.9
1389468369987,87.4,71.2
1389469270007,83.3,70.9
1389470170089,82.2,70.5
1389471070197,76.6,70.3
1389471970307,80.5,70.2
1389472870397,83.4,70.2
1389473770507,81.3,70.1
1389474670597,77.9,69.8
1389475570628,79,69.9
1389476470658,82.3,69.7
1389477370747,83.7,69.6
1389478270857,85.7,69.4
1389479170957,88.4,69.3
1389480071057,88.4,69.1
1389481871147,96.4,69.0
1389483671287,95.4,68.9
1389484571389,96,69.0
1389485471457,95.9,69.1
1389486371558,96.9,69.2
1389487271658,95.7,69.6
1389488171749,96.9,69.8
1389489971918,99.6,70.1
1389490872018,99.3,70.5
1389491772100,99.9,70.8
1389492672217,99.9,70.8
1389494472407,99.9,70.6
1389495372500,99.9,70.8
1389496272508,99.9,70.6
1389497172608,99.9,70.7
1389498072658,99.9,70.3
1389498972748,99.9,70.2
1389500772937,99.9,70.0
1389501673038,99.9,70.0
1389502573068,99.9,69.9
1389505273358,99.9,69.8
1389506173460,99.9,69.9
1389507073528,99.9,70.1
1389507973630,99.9,70.2
1389508873738,99.9,70.4
1389510673939,99.9,70.5
1389511574028,99.9,70.3
1389512474141,99.9,70.5
1389513374250,99.9,70.2
1389514274338,99.9,70.3
1389515174388,99.9,70.3
1389516974598,99.9,70.3
1389519674880,99.9,70.6
1389520574908,99.9,70.5
1389524175138,99.9,70.6
1389525075199,99.9,70.5
1389525975318,99.9,70.3
1389526875418,99.9,70.3
1389527775498,99.9,70.5
1389528675608,99.9,70.5
1389529575698,99.9,70.5
1389530475758,99.9,70.3
1389531375798,99.9,70.2
1389532275888,99.9,70.2
1389534076088,99.9,70.1
1389536776358,99.9,70.0
1389537676475,99.9,70.0
1389539476650,99.9,69.8
1389540376748,99.9,69.8
1389542176878,99.9,69.7
1389543076907,99.9,69.8
1389544877017,99.9,70.0
1389547577318,99.9,70.4
1389548477428,99.9,70.5
1389549377508,99.9,70.8
1389550277609,99.9,71.0
1389551177717,99.9,71.2
1389552077778,99.9,71.4
1389552977867,99.9,71.8
1389553877958,93.7,71.6
1389555678158,77.5,72.5
1389556578268,76.2,73.1
1389557478338,65.5,73.1
1389558378439,63.9,73.3
1389559278539,60.1,72.0
1389563778908,68.7,62.9
1389564678998,67.2,61.6
1389565579118,66.7,56.0
1389566479118,55,52.2
1389567379228,49.3,50.6
1389568279327,49.9,51.2
1389569179418,52.3,51.4
1389570979618,67.7,56.2
1389571879730,71.4,56.6
1389575479999,78.4,58.9
1389576379998,83.9,60.2
1389578180208,91,59.0
1389579080308,90,59.0
1389579980473,92.2,58.5
1389580880489,93.7,58.4
1389581780600,94.2,58.8
1389582680658,97,59.2
1389583580768,96.3,59.5
1389584480838,98.1,60.1
1389585380938,99.2,60.4
1389588081129,99.9,61.2
1389589881290,99.9,61.7
1389591681429,99.9,61.9
1389592581528,96.8,62.6
1389595281828,98.7,62.9
1389596181849,98.6,63.0
1389597982048,94.2,63.4
1389598882150,96.2,63.1
1389599782250,95.8,63.4
1389600682351,96.2,63.5
1389601582388,95.5,63.7
1389603382479,86.7,63.9
1389606982779,94.1,64.3
1389607882889,96.6,64.4
1389609683028,96.9,64.4
1389610583128,96.7,64.5
1389611483238,88.1,64.7
1389613283431,67.2,65.3
