Date, LiquidTemp, TempOut, TempIn
1392073625234,64.96,64.58,64.8
1392073775418,64.96,64.58,64.8
1392073925351,64.96,64.58,64.6
1392074225565,64.85,64.58,64.8
1392074375641,64.85,64.58,64.8
1392074675865,64.85,64.58,64.8
1392074976045,64.85,64.40,64.8
1392075126125,64.85,64.58,64.6
1392075276254,64.85,64.58,64.6
1392075576421,64.63,64.40,64.6
1392075726505,64.63,64.40,64.6
1392076026706,64.63,64.40,64.4
1392076326904,64.51,64.22,64.4
1392076476983,64.63,64.22,64.4
1392076777202,64.51,64.22,64.4
1392076927301,64.51,64.22,64.4
1392077077402,64.51,64.04,64.2
1392077227501,64.51,64.04,64.4
1392077377594,64.51,64.04,64.4
1392077677801,64.40,64.04,64.2
1392077827904,64.51,64.04,64.4
1392077978005,64.51,64.04,64.4
1392078278201,64.51,64.04,64.4
1392078728504,64.40,64.04,64.2
1392078878594,64.29,64.04,64.2
1392079028705,64.29,64.04,64.2
1392079629083,64.18,63.86,64.0
1392079779161,64.18,63.68,64.0
1392080079361,64.06,63.68,64.0
1392080229463,64.06,63.68,63.9
1392080379564,64.06,63.68,63.9
1392080529595,64.06,63.68,63.9
1392080829841,63.95,63.68,63.9
1392080979882,63.95,63.68,63.9
1392081129985,63.95,63.68,63.9
1392081430183,63.95,63.50,63.7
1392081580262,63.95,63.50,63.7
1392081730366,63.84,63.50,63.7
1392081880501,63.84,63.50,63.7
1392082180662,63.73,63.50,63.7
1392082330765,63.73,63.50,63.7
1392082630964,63.73,63.50,63.5
1392083231263,63.61,63.14,63.5
1392083681571,63.50,63.14,63.3
1392083981745,63.39,63.14,63.3
1392084432024,63.39,62.96,63.1
1392084732241,63.39,62.96,63.1
1392085032425,63.28,62.78,63.1
1392085182541,63.28,62.78,63.1
1392085332622,63.28,62.78,63.0
1392085632825,63.16,62.78,63.0
1392085933044,63.16,62.78,63.0
1392086383322,63.05,62.60,62.8
1392086533427,63.05,62.60,62.8
1392086983694,62.94,62.60,62.8
1392087133802,62.94,62.60,62.8
1392087433991,62.83,62.60,62.6
1392088184431,62.71,62.42,62.6
1392088334541,62.71,62.24,62.6
1392088484634,62.71,62.24,62.4
1392088634724,62.60,62.24,62.4
1392088934921,62.60,62.24,62.4
1392089235122,62.49,62.06,62.4
1392090135655,62.38,61.88,62.2
1392090285741,62.38,61.88,62.2
1392090435844,62.38,61.88,62.1
1392090585945,62.38,61.88,62.1
1392090736044,62.38,61.88,62.1
